Codigo,Año,Mes,NO2,Estacion,Longitud,Latitud
4,2013,1,51.35,Plaza de España,-3.7122567,40.4238823
4,2013,2,44.77,Plaza de España,-3.7122567,40.4238823
4,2013,3,39.0,Plaza de España,-3.7122567,40.4238823
4,2013,4,33.48,Plaza de España,-3.7122567,40.4238823
4,2013,5,36.16,Plaza de España,-3.7122567,40.4238823
4,2013,6,33.19,Plaza de España,-3.7122567,40.4238823
4,2013,7,43.58,Plaza de España,-3.7122567,40.4238823
4,2013,8,36.35,Plaza de España,-3.7122567,40.4238823
4,2013,9,51.39,Plaza de España,-3.7122567,40.4238823
4,2013,10,50.71,Plaza de España,-3.7122567,40.4238823
4,2013,11,47.68,Plaza de España,-3.7122567,40.4238823
4,2013,12,70.65,Plaza de España,-3.7122567,40.4238823
4,2014,1,43.74,Plaza de España,-3.7122567,40.4238823
4,2014,2,35.84,Plaza de España,-3.7122567,40.4238823
4,2014,3,46.97,Plaza de España,-3.7122567,40.4238823
4,2014,4,34.48,Plaza de España,-3.7122567,40.4238823
4,2014,5,30.06,Plaza de España,-3.7122567,40.4238823
4,2014,6,28.39,Plaza de España,-3.7122567,40.4238823
4,2014,7,36.55,Plaza de España,-3.7122567,40.4238823
4,2014,8,29.29,Plaza de España,-3.7122567,40.4238823
4,2014,9,35.13,Plaza de España,-3.7122567,40.4238823
4,2014,10,44.71,Plaza de España,-3.7122567,40.4238823
4,2014,11,35.19,Plaza de España,-3.7122567,40.4238823
4,2014,12,46.77,Plaza de España,-3.7122567,40.4238823
4,2015,1,62.48,Plaza de España,-3.7122567,40.4238823
4,2015,2,41.16,Plaza de España,-3.7122567,40.4238823
4,2015,3,53.81,Plaza de España,-3.7122567,40.4238823
4,2015,4,44.19,Plaza de España,-3.7122567,40.4238823
4,2015,5,42.35,Plaza de España,-3.7122567,40.4238823
4,2015,6,46.03,Plaza de España,-3.7122567,40.4238823
4,2015,7,48.1,Plaza de España,-3.7122567,40.4238823
4,2015,8,33.29,Plaza de España,-3.7122567,40.4238823
4,2015,9,45.29,Plaza de España,-3.7122567,40.4238823
4,2015,10,52.13,Plaza de España,-3.7122567,40.4238823
4,2015,11,59.29,Plaza de España,-3.7122567,40.4238823
4,2015,12,70.61,Plaza de España,-3.7122567,40.4238823
4,2016,1,42.94,Plaza de España,-3.7122567,40.4238823
4,2016,2,34.84,Plaza de España,-3.7122567,40.4238823
4,2016,3,40.13,Plaza de España,-3.7122567,40.4238823
4,2016,4,36.52,Plaza de España,-3.7122567,40.4238823
4,2016,5,36.77,Plaza de España,-3.7122567,40.4238823
4,2016,6,39.0,Plaza de España,-3.7122567,40.4238823
4,2016,7,41.71,Plaza de España,-3.7122567,40.4238823
4,2016,8,37.39,Plaza de España,-3.7122567,40.4238823
4,2016,9,55.55,Plaza de España,-3.7122567,40.4238823
4,2016,10,60.39,Plaza de España,-3.7122567,40.4238823
4,2016,11,52.32,Plaza de España,-3.7122567,40.4238823
4,2016,12,61.16,Plaza de España,-3.7122567,40.4238823
4,2017,1,57.23,Plaza de España,-3.7122567,40.4238823
4,2017,2,45.97,Plaza de España,-3.7122567,40.4238823
4,2017,3,45.45,Plaza de España,-3.7122567,40.4238823
4,2017,4,40.61,Plaza de España,-3.7122567,40.4238823
4,2017,5,40.48,Plaza de España,-3.7122567,40.4238823
4,2017,6,42.87,Plaza de España,-3.7122567,40.4238823
4,2017,7,41.9,Plaza de España,-3.7122567,40.4238823
4,2017,8,35.9,Plaza de España,-3.7122567,40.4238823
4,2017,9,50.39,Plaza de España,-3.7122567,40.4238823
4,2017,10,63.68,Plaza de España,-3.7122567,40.4238823
4,2017,11,64.03,Plaza de España,-3.7122567,40.4238823
4,2017,12,53.52,Plaza de España,-3.7122567,40.4238823
4,2018,1,46.84,Plaza de España,-3.7122567,40.4238823
4,2018,2,43.61,Plaza de España,-3.7122567,40.4238823
4,2018,3,31.39,Plaza de España,-3.7122567,40.4238823
4,2018,4,34.68,Plaza de España,-3.7122567,40.4238823
4,2018,5,36.39,Plaza de España,-3.7122567,40.4238823
4,2018,6,36.0,Plaza de España,-3.7122567,40.4238823
4,2018,7,38.29,Plaza de España,-3.7122567,40.4238823
4,2018,8,41.23,Plaza de España,-3.7122567,40.4238823
4,2018,9,52.06,Plaza de España,-3.7122567,40.4238823
4,2018,10,47.74,Plaza de España,-3.7122567,40.4238823
4,2018,11,41.45,Plaza de España,-3.7122567,40.4238823
4,2018,12,55.87,Plaza de España,-3.7122567,40.4238823
4,2019,1,61.13,Plaza de España,-3.7122567,40.4238823
4,2019,2,56.0,Plaza de España,-3.7122567,40.4238823
4,2019,3,44.68,Plaza de España,-3.7122567,40.4238823
4,2019,4,34.87,Plaza de España,-3.7122567,40.4238823
4,2019,5,33.45,Plaza de España,-3.7122567,40.4238823
4,2019,6,35.52,Plaza de España,-3.7122567,40.4238823
4,2019,7,36.84,Plaza de España,-3.7122567,40.4238823
4,2019,8,34.06,Plaza de España,-3.7122567,40.4238823
4,2019,9,34.26,Plaza de España,-3.7122567,40.4238823
4,2019,10,33.45,Plaza de España,-3.7122567,40.4238823
4,2019,11,21.1,Plaza de España,-3.7122567,40.4238823
4,2019,12,40.81,Plaza de España,-3.7122567,40.4238823
4,2020,1,40.52,Plaza de España,-3.7122567,40.4238823
4,2020,2,39.45,Plaza de España,-3.7122567,40.4238823
4,2020,3,1.48,Plaza de España,-3.7122567,40.4238823
4,2020,4,0.58,Plaza de España,-3.7122567,40.4238823
4,2020,5,18.23,Plaza de España,-3.7122567,40.4238823
4,2020,6,18.65,Plaza de España,-3.7122567,40.4238823
4,2020,7,23.71,Plaza de España,-3.7122567,40.4238823
4,2020,8,22.26,Plaza de España,-3.7122567,40.4238823
4,2020,9,28.42,Plaza de España,-3.7122567,40.4238823
4,2020,10,31.84,Plaza de España,-3.7122567,40.4238823
4,2020,11,40.39,Plaza de España,-3.7122567,40.4238823
4,2020,12,31.77,Plaza de España,-3.7122567,40.4238823
4,2021,1,43.45,Plaza de España,-3.7122567,40.4238823
4,2021,2,30.13,Plaza de España,-3.7122567,40.4238823
4,2021,3,31.39,Plaza de España,-3.7122567,40.4238823
4,2021,4,23.13,Plaza de España,-3.7122567,40.4238823
4,2021,5,20.87,Plaza de España,-3.7122567,40.4238823
4,2021,6,20.87,Plaza de España,-3.7122567,40.4238823
4,2021,7,23.9,Plaza de España,-3.7122567,40.4238823
4,2021,8,18.42,Plaza de España,-3.7122567,40.4238823
4,2021,9,24.61,Plaza de España,-3.7122567,40.4238823
4,2021,10,27.84,Plaza de España,-3.7122567,40.4238823
4,2022,3,4.23,Plaza de España,-3.7122567,40.4238823
4,2022,4,20.23,Plaza de España,-3.7122567,40.4238823
4,2022,5,21.23,Plaza de España,-3.7122567,40.4238823
4,2022,6,19.26,Plaza de España,-3.7122567,40.4238823
4,2022,7,23.65,Plaza de España,-3.7122567,40.4238823
4,2022,8,18.87,Plaza de España,-3.7122567,40.4238823
4,2022,9,20.06,Plaza de España,-3.7122567,40.4238823
4,2022,10,36.9,Plaza de España,-3.7122567,40.4238823
4,2022,11,27.68,Plaza de España,-3.7122567,40.4238823
4,2022,12,31.19,Plaza de España,-3.7122567,40.4238823
8,2013,1,33.52,Escuelas Aguirre,-3.6823158,40.4215533
8,2013,2,40.29,Escuelas Aguirre,-3.6823158,40.4215533
