index,Provincia,Periodo,Media_tmed,Media_prec,Media_sol,Media_tmin,Media_tmax
31,Madrid,2012-01,5.5,0.2872679045092838,6.993010752688172,-0.47277353689567425,10.374300254452926
81,Madrid,2012-02,-3.6,0.4051630434782609,7.944623655913979,-2.1261780104712042,9.913612565445026
131,Madrid,2012-03,5.9,0.6475138121546962,8.258064516129032,2.631818181818182,15.830748663101604
181,Madrid,2012-04,9.4,2.8169863013698633,5.712903225806451,4.033159268929504,13.08929503916449
231,Madrid,2012-05,0.7,1.064819944598338,9.785483870967742,10.06891891891892,23.03108108108108
281,Madrid,2012-06,20.0,0.1275482093663912,11.436559139784945,14.514973262032086,28.21657754010695
331,Madrid,2012-07,8.9,0.23212290502793295,12.82554347826087,15.616573033707866,31.240449438202248
381,Madrid,2012-08,19.8,0.059940652818991094,11.374731182795697,17.136962750716332,32.134670487106014
431,Madrid,2012-09,11.0,2.3174927113702624,8.330645161290322,12.739548022598871,25.319774011299437
481,Madrid,2012-10,8.1,1.8925925925925924,6.493548387096774,8.147860962566845,18.047326203208556
531,Madrid,2012-11,3.0,2.821081081081081,3.6865591397849466,4.138133333333333,11.223466666666667
581,Madrid,2012-12,-7.0,0.7142857142857143,3.906989247311828,1.1776902887139107,8.935695538057743
631,Madrid,2013-01,-1.0,2.440121580547112,4.5424731182795695,1.0380697050938337,8.886327077747989
681,Madrid,2013-02,3.5,1.412202380952381,5.1645161290322585,0.3670422535211268,8.776619718309858
731,Madrid,2013-03,-4.4,4.420786516853933,4.3715053763440865,3.4752089136490247,11.116713091922005
781,Madrid,2013-04,0.0,1.7572602739726026,7.2383783783783775,4.752941176470588,15.484033613445378
831,Madrid,2013-05,1.7,1.620734908136483,8.804301075268818,6.424860335195531,18.308659217877096
881,Madrid,2013-06,4.7,0.27049689440993785,11.28494623655914,11.989473684210527,26.556965944272445
931,Madrid,2013-07,16.5,0.22536023054755044,11.781182795698927,17.53699421965318,32.515317919075144
981,Madrid,2013-08,21.6,0.1105421686746988,11.373118279569892,17.033045977011493,32.21522988505747
1031,Madrid,2013-09,17.2,0.6875757575757576,8.873655913978494,13.822123893805308,27.110029498525073
1081,Madrid,2013-10,14.8,2.224533333333333,6.558378378378378,9.092151898734178,19.440759493670885
1131,Madrid,2013-11,7.7,0.6677966101694915,5.755913978494624,2.3841823056300266,12.059785522788204
1181,Madrid,2013-12,-4.2,1.8295774647887324,5.729032258064516,-0.374585635359116,10.143646408839778
1231,Madrid,2014-01,1.1,3.265608465608466,3.0650537634408606,2.584010152284264,9.130456852791879
1281,Madrid,2014-02,-2.6,3.032620320855615,3.937297297297297,1.4299741602067182,8.990956072351421
1331,Madrid,2014-03,0.2,1.7994520547945205,6.781081081081081,3.471276595744681,14.576329787234043
1381,Madrid,2014-04,2.6,1.384313725490196,8.662903225806451,7.969647696476965,19.898373983739837
1431,Madrid,2014-05,9.6,0.7719101123595506,9.862903225806452,8.888739946380698,21.957372654155495
1481,Madrid,2014-06,7.4,0.4807065217391305,11.312903225806451,12.898924731182795,26.648118279569893
1531,Madrid,2014-07,11.2,0.5483582089552239,11.98010752688172,15.565976331360947,29.708579881656803
1581,Madrid,2014-08,16.0,0.1746951219512195,11.721505376344085,16.626204819277106,30.69307228915663
1631,Madrid,2014-09,21.0,0.9853582554517134,7.929032258064516,14.276807228915661,25.983132530120482
1681,Madrid,2014-10,12.8,2.9235294117647057,6.873118279569893,11.01388888888889,21.915555555555557
1731,Madrid,2014-11,12.0,4.2624203821656055,3.868279569892473,5.67590027700831,13.153185595567868
1781,Madrid,2014-12,1.5,1.1036303630363036,5.947311827956989,0.8203438395415473,10.551862464183381
1831,Madrid,2015-01,4.2,1.6637540453074435,6.465591397849462,-0.5768996960486322,10.53191489361702
1881,Madrid,2015-02,-6.6,1.3441860465116278,5.282258064516129,1.03125,9.305357142857142
1931,Madrid,2015-03,3.7,1.336,6.693010752688172,3.2988603988603993,14.9014245014245
1981,Madrid,2015-04,7.4,1.6305263157894738,7.674731182795699,6.4774725274725276,17.93434065934066
2031,Madrid,2015-05,8.9,0.0863517060367454,10.613661202185792,9.673407202216067,24.388919667590027
2081,Madrid,2015-06,14.6,1.353562005277045,11.129569892473118,14.674719101123594,28.82134831460674
2131,Madrid,2015-07,19.8,0.19764397905759162,12.236559139784946,19.225626740947074,34.22061281337047
2181,Madrid,2015-08,15.6,0.5592689295039164,10.491397849462366,16.031232876712327,30.10958904109589
2231,Madrid,2015-09,15.4,0.5591145833333334,8.326881720430107,11.451092896174865,24.272677595628412
2281,Madrid,2015-10,9.6,1.5694117647058825,5.394086021505376,8.949375,18.925625
2331,Madrid,2015-11,6.2,1.1374603174603175,6.764516129032258,4.7680981595092025,15.918711656441717
2381,Madrid,2015-12,10.1,0.3514285714285714,4.887634408602151,2.8645070422535213,12.757464788732394
2431,Madrid,2016-01,1.6,2.3833333333333333,3.38494623655914,2.5997297297297295,9.822162162162162
2481,Madrid,2016-02,8.7,2.8867768595041317,5.60752688172043,1.2241847826086956,10.294021739130434
2531,Madrid,2016-03,-1.7,1.9838526912181302,7.184408602150538,1.0895890410958904,11.858356164383562
2581,Madrid,2016-04,-3.8,4.422005571030641,6.94247311827957,4.312228260869565,14.274184782608694
2631,Madrid,2016-05,2.0,2.8321100917431195,7.809677419354839,7.810714285714285,18.79175824175824
2681,Madrid,2016-06,9.8,0.26646706586826346,11.931891891891892,13.273150684931506,27.978356164383563
2731,Madrid,2016-07,18.6,0.2903010033444816,12.031182795698927,17.74230769230769,33.045562130177515
2781,Madrid,2016-08,18.9,0.05473372781065089,11.878494623655914,17.04756756756757,32.222702702702705
2831,Madrid,2016-09,20.0,0.39406528189910983,9.274054054054055,13.243243243243244,27.17864864864865
2881,Madrid,2016-10,13.6,3.054492753623188,6.240860215053763,9.650537634408602,20.456451612903226
2931,Madrid,2016-11,10.9,4.287257617728532,4.349462365591398,3.422311827956989,11.48010752688172
2981,Madrid,2016-12,1.4,1.2183976261127598,4.973655913978495,2.3398921832884096,10.952830188679245
3031,Madrid,2017-01,3.3,0.8806646525679759,5.347849462365591,-1.065205479452055,8.587397260273972
3081,Madrid,2017-02,0.8,2.707536231884058,4.848924731182795,2.325,11.358510638297872
3131,Madrid,2017-03,4.2,1.050408719346049,6.911827956989247,3.452127659574468,15.378989361702128
3181,Madrid,2017-04,0.6,0.6197368421052631,10.169354838709678,5.755729166666666,19.867447916666666
3231,Madrid,2017-05,1.8,1.1959390862944161,9.405376344086022,10.45785536159601,23.713216957605987
3281,Madrid,2017-06,14.6,0.5665816326530612,10.942473118279569,15.959203980099504,30.35646766169154
3331,Madrid,2017-07,7.0,1.8356060606060605,12.03010752688172,16.497,31.169
3381,Madrid,2017-08,18.0,1.2229999999999999,10.73279569892473,16.793266832917705,30.914962593516208
3431,Madrid,2017-09,12.6,0.14235588972431076,9.031182795698925,11.969478908188584,25.654094292803972
3481,Madrid,2017-10,13.4,1.0257575757575756,8.691935483870967,9.896221662468514,23.36725440806045
3531,Madrid,2017-11,7.2,0.6302030456852792,6.902150537634409,2.648737373737374,13.656565656565656
3581,Madrid,2017-12,-6.3,1.548780487804878,5.09247311827957,0.3575268817204301,9.459139784946236
3631,Madrid,2018-01,-1.9,1.9153034300791556,5.443548387096774,1.0100864553314122,9.610951008645532
3681,Madrid,2018-02,-2.9,3.9110192837465565,5.023655913978494,-0.39764705882352946,8.725
3731,Madrid,2018-03,-1.6,5.6125,4.987634408602151,2.4352,10.200800000000001
3781,Madrid,2018-04,2.6,2.6862337662337663,6.890860215053764,5.441370558375635,15.73477157360406
3831,Madrid,2018-05,-0.4,2.54296875,8.27741935483871,8.566080402010051,20.256532663316584
3881,Madrid,2018-06,9.6,1.2850632911392406,9.680645161290322,13.351385390428211,25.557178841309824
3931,Madrid,2018-07,12.8,0.094,12.468817204301073,15.648205128205129,30.129487179487178
3981,Madrid,2018-08,22.7,0.2141057934508816,11.334408602150537,17.779740259740258,32.420779220779224
4031,Madrid,2018-09,19.8,0.6558011049723758,8.895698924731182,15.256338028169013,28.484788732394367
4081,Madrid,2018-10,10.2,2.363444108761329,6.221505376344086,8.27566765578635,18.712759643916915
4131,Madrid,2018-11,1.6,3.058904109589041,3.9580645161290327,4.526344086021505,11.915322580645162
4181,Madrid,2018-12,0.9,0.5753807106598985,5.130645161290323,1.826865671641791,11.350248756218907
4231,Madrid,2019-01,6.4,1.3223958333333334,6.525268817204301,-0.7457800511508952,10.347570332480819
4281,Madrid,2019-02,-1.9,0.06781609195402298,8.688709677419354,1.392,14.396571428571429
4331,Madrid,2019-03,6.7,0.48443804034582133,9.21989247311828,3.474571428571428,16.75542857142857
4381,Madrid,2019-04,3.8,3.200561797752809,6.572972972972973,4.987837837837838,15.737027027027027
4431,Madrid,2019-05,11.6,0.18756906077348068,11.056989247311828,8.650290697674418,23.144476744186047
4481,Madrid,2019-06,18.0,0.11662468513853903,11.935483870967742,13.353532608695653,27.766304347826086
4531,Madrid,2019-07,21.1,0.30103359173126615,11.768279569892474,17.930434782608696,32.34245524296675
4581,Madrid,2019-08,18.0,1.292225201072386,10.928108108108109,16.69763157894737,30.935526315789474
4631,Madrid,2019-09,18.6,1.9932642487046632,8.259139784946237,13.08025641025641,25.262564102564102
4681,Madrid,2019-10,10.6,1.9765193370165746,6.959677419354839,8.97775,19.8855
4731,Madrid,2019-11,9.4,4.176553672316384,3.5693548387096774,4.340966921119593,10.734351145038168
4781,Madrid,2019-12,-1.4,3.1739938080495356,4.104838709677419,3.433080808080808,11.502525252525253
