,ESTACION,ANO,MES,NO2
0,4,2023,1,32.516129032258064
1,4,2023,2,36.74193548387097
2,4,2023,3,27.806451612903224
3,4,2023,4,22.838709677419356
4,4,2023,5,16.612903225806452
5,4,2023,6,21.612903225806452
6,4,2023,7,22.677419354838708
7,4,2023,8,21.225806451612904
8,4,2023,9,31.096774193548388
9,4,2023,10,32.806451612903224
10,8,2023,1,39.74193548387097
11,8,2023,2,37.0
12,8,2023,3,31.677419354838708
13,8,2023,4,26.387096774193548
14,8,2023,5,20.225806451612904
15,8,2023,6,24.93548387096774
16,8,2023,7,27.096774193548388
17,8,2023,8,22.548387096774192
18,8,2023,9,34.54838709677419
19,8,2023,10,37.12903225806452
20,11,2023,1,11.258064516129032
21,11,2023,3,20.548387096774192
22,11,2023,4,23.870967741935484
23,11,2023,5,19.096774193548388
24,11,2023,6,25.225806451612904
25,11,2023,7,22.93548387096774
26,11,2023,8,20.129032258064516
27,11,2023,9,34.83870967741935
28,11,2023,10,35.45161290322581
29,16,2023,1,32.83870967741935
30,16,2023,2,33.58064516129032
31,16,2023,3,28.612903225806452
32,16,2023,4,20.838709677419356
33,16,2023,5,15.129032258064516
34,16,2023,6,19.419354838709676
35,16,2023,7,19.93548387096774
36,16,2023,8,20.096774193548388
37,16,2023,9,27.451612903225808
38,16,2023,10,29.35483870967742
39,17,2023,1,48.32258064516129
40,17,2023,2,44.61290322580645
41,17,2023,3,35.67741935483871
42,17,2023,4,29.35483870967742
43,17,2023,5,20.258064516129032
44,17,2023,6,27.06451612903226
45,17,2023,7,30.419354838709676
46,17,2023,8,26.677419354838708
47,17,2023,9,38.096774193548384
48,17,2023,10,43.096774193548384
49,18,2023,1,33.516129032258064
50,18,2023,2,35.38709677419355
51,18,2023,3,25.322580645161292
52,18,2023,4,19.903225806451612
53,18,2023,5,15.870967741935484
54,18,2023,6,19.516129032258064
55,18,2023,7,18.903225806451612
56,18,2023,8,18.548387096774192
57,18,2023,9,27.548387096774192
58,18,2023,10,30.451612903225808
59,24,2023,1,20.93548387096774
60,24,2023,2,20.838709677419356
61,24,2023,3,15.451612903225806
62,24,2023,4,11.451612903225806
63,24,2023,5,9.451612903225806
64,24,2023,6,11.064516129032258
65,24,2023,7,10.03225806451613
66,24,2023,8,10.161290322580646
67,24,2023,9,17.096774193548388
68,24,2023,10,17.419354838709676
69,27,2023,1,35.25806451612903
70,27,2023,2,40.516129032258064
71,27,2023,3,31.741935483870968
72,27,2023,4,27.225806451612904
73,27,2023,5,21.903225806451612
74,27,2023,6,25.806451612903224
75,27,2023,7,28.612903225806452
76,27,2023,8,27.870967741935484
77,27,2023,9,35.225806451612904
78,27,2023,10,37.12903225806452
79,35,2023,1,41.29032258064516
80,35,2023,2,39.54838709677419
81,35,2023,3,33.70967741935484
82,35,2023,4,36.41935483870968
83,35,2023,5,23.032258064516128
84,35,2023,6,21.806451612903224
85,35,2023,7,20.93548387096774
86,35,2023,8,22.93548387096774
87,35,2023,9,27.29032258064516
88,36,2023,1,33.83870967741935
89,36,2023,2,33.903225806451616
90,36,2023,3,29.032258064516128
91,36,2023,4,21.580645161290324
92,36,2023,5,16.612903225806452
93,36,2023,6,21.741935483870968
94,36,2023,7,21.967741935483872
95,36,2023,8,20.258064516129032
96,36,2023,9,30.032258064516128
97,36,2023,10,31.903225806451612
98,38,2023,1,40.41935483870968
99,38,2023,2,36.225806451612904
100,38,2023,3,26.93548387096774
101,38,2023,4,20.06451612903226
102,38,2023,5,17.612903225806452
103,38,2023,6,21.193548387096776
104,38,2023,7,19.548387096774192
105,38,2023,8,16.838709677419356
106,38,2023,9,31.483870967741936
107,38,2023,10,31.806451612903224
108,39,2023,1,36.41935483870968
109,39,2023,2,35.25806451612903
110,39,2023,3,24.161290322580644
111,39,2023,4,21.838709677419356
112,39,2023,5,15.129032258064516
113,39,2023,6,19.06451612903226
114,39,2023,7,20.774193548387096
115,39,2023,8,19.032258064516128
116,39,2023,9,30.096774193548388
117,39,2023,10,32.935483870967744
118,40,2023,1,35.096774193548384
119,40,2023,2,33.25806451612903
120,40,2023,3,29.580645161290324
121,40,2023,4,22.838709677419356
122,40,2023,5,17.903225806451612
123,40,2023,6,23.0
124,40,2023,7,22.612903225806452
125,40,2023,8,20.193548387096776
126,40,2023,9,33.096774193548384
127,40,2023,10,35.225806451612904
128,47,2023,1,36.0
129,47,2023,2,38.25806451612903
130,47,2023,3,30.516129032258064
131,47,2023,4,24.0
132,47,2023,5,14.129032258064516
133,47,2023,6,20.06451612903226
134,47,2023,7,20.741935483870968
135,47,2023,8,20.032258064516128
136,47,2023,9,29.774193548387096
137,47,2023,10,30.838709677419356
138,48,2023,1,35.03225806451613
139,48,2023,2,33.096774193548384
140,48,2023,3,31.548387096774192
141,48,2023,4,22.161290322580644
142,48,2023,5,15.96774193548387
143,48,2023,6,21.387096774193548
144,48,2023,7,21.419354838709676
145,48,2023,8,18.677419354838708
146,48,2023,9,32.096774193548384
147,48,2023,10,29.903225806451612
148,49,2023,1,26.677419354838708
149,49,2023,2,29.64516129032258
150,49,2023,3,21.838709677419356
151,49,2023,4,15.516129032258064
152,49,2023,5,12.483870967741936
153,49,2023,6,14.64516129032258
154,49,2023,7,13.806451612903226
155,49,2023,8,11.32258064516129
156,49,2023,9,18.419354838709676
157,49,2023,10,21.29032258064516
158,50,2023,1,36.096774193548384
159,50,2023,2,33.0
160,50,2023,3,34.61290322580645
161,50,2023,4,23.93548387096774
162,50,2023,5,17.806451612903224
163,50,2023,6,23.0
164,50,2023,7,24.483870967741936
165,50,2023,8,20.06451612903226
166,50,2023,9,30.06451612903226
167,50,2023,10,34.16129032258065
168,54,2023,1,37.645161290322584
169,54,2023,2,37.74193548387097
170,54,2023,3,30.451612903225808
171,54,2023,4,24.0
172,54,2023,5,18.129032258064516
173,54,2023,6,21.322580645161292
174,54,2023,7,21.677419354838708
175,54,2023,8,20.225806451612904
176,54,2023,9,33.0
177,54,2023,10,31.548387096774192
178,55,2023,1,39.645161290322584
179,55,2023,2,42.96774193548387
180,55,2023,3,32.87096774193548
181,55,2023,4,24.225806451612904
182,55,2023,5,18.096774193548388
183,55,2023,6,22.967741935483872
184,55,2023,7,24.161290322580644
185,55,2023,8,22.774193548387096
186,55,2023,9,25.774193548387096
187,55,2023,10,28.806451612903224
188,56,2023,1,43.32258064516129
189,56,2023,2,45.903225806451616
190,56,2023,3,31.741935483870968
191,56,2023,4,28.838709677419356
192,56,2023,5,28.516129032258064
193,56,2023,6,34.74193548387097
194,56,2023,7,31.322580645161292
195,56,2023,8,27.032258064516128
196,56,2023,9,38.193548387096776
197,56,2023,10,38.645161290322584
198,57,2023,1,31.451612903225808
199,57,2023,2,30.451612903225808
200,57,2023,3,22.903225806451612
201,57,2023,4,17.516129032258064
202,57,2023,5,11.774193548387096
203,57,2023,6,15.258064516129032
204,57,2023,7,15.903225806451612
205,57,2023,8,14.193548387096774
206,57,2023,9,24.612903225806452
207,57,2023,10,27.387096774193548
208,58,2023,1,16.548387096774192
209,58,2023,2,17.806451612903224
210,58,2023,3,14.129032258064516
211,58,2023,4,9.451612903225806
212,58,2023,5,7.935483870967742
213,58,2023,6,11.451612903225806
214,58,2023,7,10.129032258064516
215,58,2023,8,10.129032258064516
216,58,2023,9,12.96774193548387
217,58,2023,10,13.161290322580646
218,59,2023,1,25.06451612903226
219,59,2023,2,24.774193548387096
220,59,2023,3,22.548387096774192
221,59,2023,4,17.419354838709676
222,59,2023,5,11.193548387096774
223,59,2023,6,13.612903225806452
224,59,2023,7,16.258064516129032
225,59,2023,8,15.774193548387096
226,59,2023,9,21.06451612903226
227,59,2023,10,24.258064516129032
228,60,2023,1,27.387096774193548
229,60,2023,2,31.06451612903226
230,60,2023,3,20.870967741935484
231,60,2023,4,14.806451612903226
232,60,2023,5,9.96774193548387
233,60,2023,6,10.870967741935484
234,60,2023,7,13.483870967741936
235,60,2023,8,13.935483870967742
236,60,2023,9,19.870967741935484
237,60,2023,10,20.806451612903224
