Periodo,T_media
2013-01-01,-1.0
2013-02-01,3.5
2013-03-01,-4.4
2013-04-01,0.0
2013-05-01,1.7
2013-06-01,4.7
2013-07-01,16.5
2013-08-01,21.6
2013-09-01,17.2
2013-10-01,14.8
2013-11-01,7.7
2013-12-01,-4.2
2014-01-01,1.1
2014-02-01,-2.6
2014-03-01,0.2
2014-04-01,2.6
2014-05-01,9.6
2014-06-01,7.4
2014-07-01,11.2
2014-08-01,16.0
2014-09-01,21.0
2014-10-01,12.8
2014-11-01,12.0
2014-12-01,1.5
2015-01-01,4.2
2015-02-01,-6.6
2015-03-01,3.7
2015-04-01,7.4
2015-05-01,8.9
2015-06-01,14.6
2015-07-01,19.8
2015-08-01,15.6
2015-09-01,15.4
2015-10-01,9.6
2015-11-01,6.2
2015-12-01,10.1
2016-01-01,1.6
2016-02-01,8.7
2016-03-01,-1.7
2016-04-01,-3.8
2016-05-01,2.0
2016-06-01,9.8
2016-07-01,18.6
2016-08-01,18.9
2016-09-01,20.0
2016-10-01,13.6
2016-11-01,10.9
2016-12-01,1.4
2017-01-01,3.3
2017-02-01,0.8
2017-03-01,4.2
2017-04-01,0.6
2017-05-01,1.8
2017-06-01,14.6
2017-07-01,7.0
2017-08-01,18.0
2017-09-01,12.6
2017-10-01,13.4
2017-11-01,7.2
2017-12-01,-6.3
2018-01-01,-1.9
2018-02-01,-2.9
2018-03-01,-1.6
2018-04-01,2.6
2018-05-01,-0.4
2018-06-01,9.6
2018-07-01,12.8
2018-08-01,22.7
2018-09-01,19.8
2018-10-01,10.2
2018-11-01,1.6
2018-12-01,0.9
2019-01-01,6.4
2019-02-01,-1.9
2019-03-01,6.7
2019-04-01,3.8
2019-05-01,11.6
2019-06-01,18.0
2019-07-01,21.1
2019-08-01,18.0
2019-09-01,18.6
2019-10-01,10.6
2019-11-01,9.4
2019-12-01,-1.4
2020-01-01,10.4
2020-02-01,5.1
2020-03-01,2.6
2020-04-01,0.6
2020-05-01,8.8
2020-06-01,13.4
2020-07-01,18.6
2020-08-01,21.4
2020-09-01,14.4
2020-10-01,8.0
2020-11-01,11.5
2020-12-01,3.4
2021-01-01,-6.1
2021-02-01,2.2
2021-03-01,-0.2
2021-04-01,9.9
2021-05-01,2.2
2021-06-01,10.6
2021-07-01,18.6
2021-08-01,10.6
2021-09-01,13.2
2021-10-01,12.5
2021-11-01,3.2
2021-12-01,-0.8
2022-01-01,10.6
2022-02-01,2.7
2022-03-01,6.2
2022-04-01,-5.0
2022-05-01,9.7
2022-06-01,13.2
2022-07-01,16.6
2022-08-01,24.0
2022-09-01,17.4
2022-10-01,10.8
2022-11-01,7.4
2022-12-01,2.4
