hex_id,boundary,avg
88390ca001fffff,"((40.3774592750818, -3.6167756590344626), (40.37566402413293, -3.622529950066864), (40.37074513891487, -3.623357172690556), (40.36762179016964, -3.618430729092784), (40.369417042548804, -3.612677175549604), (40.37433564223133, -3.611849328176534))",
88390ca20bfffff,"((40.44046779711394, -3.6389079556810864), (40.43867313134447, -3.6446677714565903), (40.43375458462978, -3.64549437857809), (40.43063098879126, -3.6405617962340924), (40.432425655797076, -3.634802719045826), (40.43734391739341, -3.6339754856759816))",
88390ca223fffff,"((40.41095617400671, -3.6438682158016795), (40.40916035352591, -3.6496258378245496), (40.40424120830692, -3.6504518145395046), (40.401118168705594, -3.6455207951314668), (40.402913990290095, -3.6397639110619693), (40.407832850360556, -3.638937308508713))",
88390ca24dfffff,"((40.4524940815516, -3.675103175521576), (40.450697690213694, -3.6808648683592127), (40.44577829658455, -3.6816894391778248), (40.442655578974865, -3.6767529443655387), (40.44445197104517, -3.6709919900746004), (40.44937107998105, -3.6701667921108703))",
88390ca265fffff,"((40.42297737416453, -3.6800512230354125), (40.421179829011294, -3.685810720061642), (40.416259836119124, -3.6866346617342396), (40.41313767309194, -3.6816997331761097), (40.41493521884528, -3.675940974062459), (40.41985492701397, -3.675116405655922))",
88390ca313fffff,"((40.38948317595977, -3.6529291147699814), (40.387686202911034, -3.6586852820746913), (40.382766467987516, -3.659510473599351), (40.37964399121247, -3.6545801235250575), (40.38144096518855, -3.6488246936705178), (40.386360415000695, -3.6479988765016222))",
88390ca355fffff,"((40.401499259994075, -3.6891058580975504), (40.39970056266567, -3.694863898308474), (40.39477997971289, -3.6956870552882113), (40.39165837876307, -3.690752798657403), (40.39345707651545, -3.684995495855309), (40.39837737478199, -3.6841717123366613))",
88390ca36bfffff,"((40.38938101018057, -3.712960114750002), (40.3875805865024, -3.718717812781367), (40.38265913682722, -3.719539402476114), (40.37953839528054, -3.7146039209865105), (40.38133881900962, -3.7088469599323552), (40.386259984222754, -3.70802474345201))",
88390cb049fffff,"((40.524774868211196, -3.772324273124324), (40.52297501660005, -3.778094143401286), (40.51805398959293, -3.7789136824548137), (40.514933097618986, -3.77396398153301), (40.51673294868859, -3.7681948504915557), (40.52165369226176, -3.767374681198014))",
88390cb09dfffff,"((40.4954326281317, -3.656970673568553), (40.49363854603015, -3.6627352832932254), (40.488720340838995, -3.6635614269223415), (40.48559650250446, -3.6586235884238483), (40.48739058568976, -3.6528597182556335), (40.49230850611415, -3.6520329470912123))",
