ESTACION,avg,LATITUD,LONGITUD,hex_id
4,23.915277777777778,40.4238823,-3.7122567,8c390cb1bd539ff
8,27.686111111111114,40.4215533,-3.6823158,8c390ca26529dff
11,24.77638888888889,40.4514734,-3.6773491,8c390ca24d2d3ff
16,21.52638888888889,40.4400457,-3.6392422,8c390ca20b643ff
17,30.92777777777778,40.347147,-3.7133167,8c390cb8980cbff
18,20.720833333333335,40.3947825,-3.7318356,8c390cba93137ff
24,12.198611111111111,40.4193577,-3.7473445,8c390cbada435ff
27,28.345833333333335,40.4769179,-3.5800258,8c390cb51cda5ff
35,37.26944444444444,40.4192091,-3.7031662,8c390cb1b0123ff
36,22.60972222222222,40.4079517,-3.6453104,8c390ca2230b3ff
38,20.6375,40.4455439,-3.7071303,8c390cb19d02dff
39,22.623611111111114,40.4782322,-3.7115364,8c390cb0e52ddff
40,23.975,40.3881478,-3.6515286,8c390ca3136a3ff
47,24.875,40.3980991,-3.6868138,8c390ca354629ff
48,22.95277777777778,40.4398904,-3.6903729,8c390cb190c0bff
49,15.341666666666667,40.4144444,-3.6824999,8c390ca264825ff
50,24.806944444444447,40.4655841,-3.6887449,8c390cb0ac499ff
54,25.709722222222222,40.3730118,-3.6121394,8c390ca000489ff
55,25.019444444444446,40.4623628,-3.5805649,8c390cb53162bff
56,29.716666666666665,40.3850336,-3.7187679,8c390ca36ba6bff
57,17.955555555555556,40.4942012,-3.6605173,8c390cb09d211ff
58,9.844444444444443,40.5180701,-3.7746101,8c390cb048a1dff
59,18.083333333333332,40.4607255,-3.6163407,8c390cb52999dff
60,15.20138888888889,40.5005477,-3.6897308,8c390cb0c0cd9ff
90,22.689351851851853,40.46312006666667,-3.7024705333333334,8c390cb1dadcbff
91,22.501851851851853,40.43643886666666,-3.7032533,8c390cb195135ff
92,21.795370370370375,40.47933916666667,-3.6869328666666665,8c390cb085a4dff
93,20.27175925925926,40.46880003333333,-3.6514023666666664,8c390cb0b06a1ff
94,18.056944444444444,40.421620000000004,-3.7298006,8c390cb1a8cb1ff
95,22.797916666666666,40.3964408,-3.7093247,8c390ca340c65ff
96,26.84583333333333,40.3865907,-3.68514825,8c390ca30af4dff
97,16.418055555555554,40.4324508,-3.7272374,8c390cb1842ebff
